date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
2009-05-01,8.900000000000006,1.8298963060296098,9.4,,-2.9648940310728547,0.18
2009-06-01,14.399999999999999,1.7236988780092861,9.5,,-2.8677617928657235,0.21
2009-07-01,4.799999999999997,1.5478555220654608,9.4,5.19,-2.1857902106691895,0.16
2009-08-01,2.700000000000003,1.3931285197745933,9.7,,-1.3063417710048635,0.16
2009-09-01,3.200000000000003,1.3412184914106227,9.8,,-1.8032886905869163,0.15
2009-10-01,12.999999999999993,1.547334659605559,10.2,5.2,-0.9132882859698842,0.12
2009-11-01,12.100000000000009,1.560742324934364,10.0,,-0.4168618745769674,0.12
2009-12-01,12.399999999999999,1.6618761560389217,10.0,,0.2837230167576608,0.12
2010-01-01,13.200000000000003,1.5457857388372778,9.7,5.2,-0.11621207004895065,0.11
2010-02-01,17.299999999999997,1.32978852395635,9.7,,0.3847096347151014,0.13
2010-03-01,16.299999999999997,1.2250860947712272,9.7,,1.7985787844998171,0.16
2010-04-01,7.1000000000000085,1.046346703370821,9.9,5.2,2.2061807015548673,0.2
2010-05-01,4.8999999999999915,1.1138391870795465,9.7,,2.2061807015548704,0.2
2010-06-01,5.200000000000003,0.9906583123429006,9.5,,2.410593062957979,0.18
2010-07-01,1.7999999999999972,0.9976226398352954,9.5,5.2,2.104585314761878,0.18
2010-08-01,3.200000000000003,1.0238976420281445,9.6,,1.4980234218028914,0.19
2010-09-01,-5.299999999999997,0.9218509968387462,9.6,,2.9362545229215513,0.19
2010-10-01,-2.8999999999999915,0.7335970508900886,9.6,5.2,3.3471776946697522,0.19
2010-11-01,4.199999999999989,0.8102249485059061,9.8,,3.347177694669756,0.19
2010-12-01,2.0,0.7657199052953942,9.4,,3.140895902864028,0.18
2011-01-01,-0.20000000000000284,0.8841838436688373,9.0,5.2,3.5538724630356446,0.17
2011-02-01,3.9000000000000057,1.0115050131160457,8.9,,3.553872463035646,0.16
2011-03-01,-6.099999999999994,1.065294867699268,8.8,,3.0402123813737574,0.14
2011-04-01,-2.4000000000000057,1.1662651892328995,9.0,5.2,2.7320163323766358,0.1
2011-05-01,0.7000000000000028,1.2623360655493694,9.1,,2.6293869454312127,0.09
2011-06-01,-4.5,1.3371482553281966,9.2,,2.629386945431208,0.09
2011-07-01,-4.099999999999994,1.431662993967642,9.1,5.2,2.7319138055165646,0.07
2011-08-01,-13.100000000000009,1.460648347034998,9.1,,2.424945935579744,0.1
2011-09-01,-8.700000000000003,1.434049641692707,9.1,,2.6293869454312104,0.08
2011-10-01,-6.900000000000006,1.4999442277339374,9.0,5.2,2.2213178124473916,0.07
2011-11-01,-7.8999999999999915,1.499385167315267,8.6,,1.9155710991499544,0.08
2011-12-01,-4.599999999999994,1.6242861708725915,8.5,,2.1194022413482623,0.07
2012-01-01,0.7999999999999972,1.6813434370400835,8.3,5.2,2.323030162068804,0.08
2012-02-01,-2.200000000000003,1.6565776581108553,8.3,,2.5272677472226217,0.1
2012-03-01,8.700000000000003,1.6844483792188982,8.2,,2.220605929434323,0.13
2012-04-01,6.6000000000000085,1.6322473702040163,8.1,5.2,2.0161647175754585,0.14
2012-05-01,5.0,1.4903798346730965,8.2,,2.0161647175754585,0.16
2012-06-01,1.7000000000000028,1.5883377408035761,8.2,,1.7107270986605687,0.16
2012-07-01,8.599999999999994,1.4145578803779681,8.3,5.2,1.7107270986605738,0.16
2012-08-01,18.5,1.3775153023804436,8.1,,1.5075088626992272,0.13
2012-09-01,18.799999999999997,1.4958719147626471,7.8,,1.5075088626992212,0.14
2012-10-01,21.799999999999997,1.5588498986817698,7.9,5.2,1.1022892664409403,0.16
2012-11-01,19.0,1.5157346069071806,7.7,,1.6078007127731353,0.16
2012-12-01,3.0,1.3740022849242646,7.8,,1.7092057035044241,0.16
2013-01-01,-1.2000000000000028,1.3414329254741186,7.9,5.2,1.3043929444855058,0.14
2013-02-01,2.299999999999997,1.2653921440206624,7.7,,0.900789785344134,0.15
2013-03-01,2.3999999999999915,1.138038935980435,7.6,,0.900789785344134,0.14
2013-04-01,0.0,1.0130957792150148,7.5,5.2,1.3052017684517208,0.15
2013-05-01,5.200000000000003,1.0004929421799362,7.6,,1.6091173737570663,0.11
2013-06-01,10.899999999999991,1.0066553604478148,7.6,,1.9142498583629481,0.09
2013-07-01,12.799999999999997,1.0564738223930665,7.4,5.2,1.9142498583629406,0.09
2013-08-01,7.799999999999997,1.101795910673555,7.3,,2.0162661244874296,0.08
2013-09-01,-0.7999999999999972,1.0465559169926684,7.2,,1.9146562976702013,0.08
2013-10-01,-9.399999999999991,0.986020858059262,7.3,5.2,2.5273696621852415,0.09
2013-11-01,-7.6000000000000085,1.0488059399620835,7.0,,2.323335095693336,0.08
2013-12-01,9.599999999999994,1.1286153567926869,6.7,,2.0172832459554835,0.09
2014-01-01,7.400000000000006,1.074908664347958,6.6,5.2,1.3038756708089538,0.07
2014-02-01,4.0,1.1093828350008688,6.7,,2.013002800504601,0.07
2014-03-01,1.4000000000000057,1.2529116882150777,6.7,,2.6250808173076257,0.08
2014-04-01,7.699999999999989,1.4174689502901399,6.3,5.2,2.727501057644244,0.09
2014-05-01,-2.5999999999999943,1.4798602355821824,6.3,,2.7275010576442473,0.09
2014-06-01,-1.5999999999999943,1.4075390627001505,6.1,,3.035068426080299,0.1
2014-07-01,-3.299999999999997,1.4242137929647483,6.2,5.2,3.1378978356871596,0.09
2014-08-01,0.4000000000000057,1.3464643809092118,6.1,,3.7567252227012777,0.09
2014-09-01,7.099999999999994,1.4075286001744065,5.9,,3.549832450572256,0.09
2014-10-01,13.700000000000003,1.5142928526281154,5.8,5.2,3.6529697338895595,0.09
2014-11-01,13.700000000000003,1.4196658051006081,5.8,,3.6529697338895586,0.09
2014-12-01,11.099999999999994,1.3356864570432645,5.6,,3.9639286430912226,0.12
2015-01-01,16.89999999999999,1.3014882299465735,5.7,5.2,4.486886030631919,0.11
2015-02-01,13.800000000000011,1.345965824463476,5.5,,3.656801533864247,0.11
2015-03-01,13.0,1.3190428564699819,5.5,,3.5537629637510464,0.11
2015-04-01,11.800000000000011,1.2577672218866127,5.4,5.2,3.657006994622201,0.12
2015-05-01,8.799999999999997,1.2227685383875175,5.5,,3.863700926814862,0.12
2015-06-01,13.599999999999994,1.2268712198997485,5.3,,3.3469660963331997,0.13
2015-07-01,11.299999999999997,1.204035003067886,5.3,5.2,3.450003948871931,0.13
2015-08-01,9.400000000000006,1.2369460731089927,5.1,,3.0386719252183716,0.14
2015-09-01,2.6000000000000085,1.2635687899190589,5.1,,3.1416076614074107,0.14
2015-10-01,3.0999999999999943,1.1307381930794609,5.0,5.2,2.9363507307379333,0.12
2015-11-01,2.5,1.2374047286385796,5.0,,2.9363507307379337,0.12
2015-12-01,-1.0,1.2712862436299979,5.0,,2.936350730737925,0.24
2016-01-01,-6.099999999999994,1.4723852783189397,4.9,5.2,2.8333113406170574,0.34
2016-02-01,-3.700000000000003,1.4880772265552564,4.9,,3.2450563309698697,0.38
